"Site","Treatment","Microsite","Depth","Plot","N","mean_C","mean_N"
"Desert Grassland","Addition","CAN","0.5","P5",1,1.114535498,0.094248322
"Desert Grassland","Addition","CAN","5.10","P1",1,0.724508915,0.072943217
"Desert Grassland","Addition","CAN","5.10","P11",1,0.972458716,0.08454996
"Desert Grassland","Addition","CAN","5.10","P2",1,0.85582934,0.086782657
"Desert Grassland","Addition","CAN","5.10","P5",1,0.773435346,0.072117429
"Desert Grassland","Addition","IC","0.5","P1",1,0.966629535,0.089696224
"Desert Grassland","Addition","IC","0.5","P11",1,0.957417906,0.076052896
"Desert Grassland","Addition","IC","0.5","P5",1,0.785758565,0.068694248
"Desert Grassland","Addition","IC","5.10","P1",1,0.691321199,0.074548355
"Desert Grassland","Addition","IC","5.10","P11",1,0.746559556,0.072194631
"Desert Grassland","Addition","IC","5.10","P2",1,0.748155098,0.078824202
"Desert Grassland","Addition","IC","5.10","P5",1,0.737249211,0.070420151
"Juniper Savanna","Exclusion","CAN","0.5","P10",1,3.478743104,0.246556996
"Juniper Savanna","Exclusion","CAN","0.5","P12",2,3.1292090265,0.242139704
"Juniper Savanna","Exclusion","CAN","0.5","P8",1,2.468175494,0.223418066
"Juniper Savanna","Exclusion","CAN","5.10","P10",1,2.545637498,0.236799361
"Juniper Savanna","Exclusion","CAN","5.10","P12",1,2.60156164,0.242845723
"Juniper Savanna","Exclusion","CAN","5.10","P4",1,3.826220603,0.206237341
"Juniper Savanna","Exclusion","CAN","5.10","P8",1,4.109733483,0.237505422
"Juniper Savanna","Exclusion","IC","0.5","P12",1,2.178674507,0.247861259
"Juniper Savanna","Exclusion","IC","0.5","P2",1,0.741213716,0.018398307
"Juniper Savanna","Exclusion","IC","0.5","P4",1,2.242433818,0.219742905
"Juniper Savanna","Exclusion","IC","0.5","P8",2,3.067157989,0.233713698
"Juniper Savanna","Exclusion","IC","5.10","P10",1,2.986724134,0.19824914
"Juniper Savanna","Exclusion","IC","5.10","P12",1,2.833954302,0.258705036
"Juniper Savanna","Exclusion","IC","5.10","P4",1,2.173718294,0.195937343
"Juniper Savanna","Exclusion","IC","5.10","P8",2,3.075099194,0.2208110055
"Juniper Savanna","Ambient","CAN","0.5","P2",1,2.720803132,0.247306155
"Juniper Savanna","Ambient","CAN","0.5","P3",1,3.103976423,0.232453639
"Juniper Savanna","Ambient","CAN","0.5","P5",1,2.926136488,0.211826501
"Juniper Savanna","Ambient","CAN","0.5","P7",1,2.19521197,0.217445032
"Juniper Savanna","Ambient","CAN","5.10","P2",1,2.144105199,0.223512168
"Juniper Savanna","Ambient","CAN","5.10","P3",1,1.7922,0.1963
"Juniper Savanna","Ambient","CAN","5.10","P5",1,3.161632547,0.215663581
"Juniper Savanna","Ambient","CAN","5.10","P7",1,2.304939026,0.209256503
"Juniper Savanna","Ambient","IC","0.5","P2",1,2.474617388,0.241342282
"Juniper Savanna","Ambient","IC","0.5","P3",1,2.693787365,0.254938449
"Juniper Savanna","Ambient","IC","0.5","P5",1,3.131220183,0.163540898
"Juniper Savanna","Ambient","IC","0.5","P7",1,2.972987529,0.177740847
"Juniper Savanna","Ambient","IC","5.10","P2",1,2.402225221,0.238637584
"Juniper Savanna","Ambient","IC","5.10","P3",1,3.305200608,0.228151981
"Juniper Savanna","Ambient","IC","5.10","P5",1,2.179653045,0.180016783
"Juniper Savanna","Ambient","IC","5.10","P7",2,3.6409618195,0.190981172
"Juniper Savanna","Addition","CAN","0.5","P1",2,2.711911962,0.218895213
"Juniper Savanna","Addition","CAN","0.5","P11",1,2.112808283,0.200875839
"Juniper Savanna","Addition","CAN","0.5","P6",1,2.36697454,0.212217426
"Juniper Savanna","Addition","CAN","0.5","P9",1,3.363955776,0.205850948
"Juniper Savanna","Addition","CAN","5.10","P11",1,2.279479182,0.224864895
"Juniper Savanna","Addition","CAN","5.10","P9",1,2.341035337,0.227669059
"Juniper Savanna","Addition","IC","0.5","P1",1,3.074864638,0.21753934
"Juniper Savanna","Addition","IC","0.5","P11",1,2.970404602,0.211812449
"Juniper Savanna","Addition","IC","0.5","P6",1,2.01974027,0.200827972
"Juniper Savanna","Addition","IC","0.5","P9",1,3.602372367,0.217346144
"Juniper Savanna","Addition","IC","5.10","P1",1,2.170531903,0.206134825
"Juniper Savanna","Addition","IC","5.10","P11",2,2.0090384665,0.1252462315
"Juniper Savanna","Addition","IC","5.10","P6",1,2.181337393,0.217997203
"Ponderosa Pine Meadow","Exclusion","CAN","0.5","P1",1,3.765443398,0.266634692
"Ponderosa Pine Meadow","Exclusion","CAN","0.5","P10",1,2.789975877,0.214607383
"Ponderosa Pine Meadow","Exclusion","CAN","0.5","P4",1,2.750961865,0.185624622
"Ponderosa Pine Meadow","Exclusion","CAN","0.5","P7",1,2.948820289,0.214318513
"Ponderosa Pine Meadow","Exclusion","CAN","5.10","P1",1,2.998302797,0.219453237
"Ponderosa Pine Meadow","Exclusion","CAN","5.10","P10",1,2.091709256,0.154628297
"Ponderosa Pine Meadow","Exclusion","CAN","5.10","P4",1,2.273246985,0.163347702
"Ponderosa Pine Meadow","Exclusion","CAN","5.10","P7",1,2.430107163,0.17136536
"Ponderosa Pine Meadow","Exclusion","IC","0.5","P1",1,2.083135156,0.23370965
"Ponderosa Pine Meadow","Exclusion","IC","0.5","P10",1,2.319237117,0.159911201
"Ponderosa Pine Meadow","Exclusion","IC","0.5","P4",1,3.062555346,0.179900101
"Ponderosa Pine Meadow","Exclusion","IC","0.5","P7",1,1.8554528,0.151779373
"Ponderosa Pine Meadow","Exclusion","IC","5.10","P1",1,2.543061247,0.181192646
"Ponderosa Pine Meadow","Exclusion","IC","5.10","P10",1,2.002516293,0.149870504
"Ponderosa Pine Meadow","Exclusion","IC","5.10","P4",1,2.776619846,0.206080134
"Ponderosa Pine Meadow","Exclusion","IC","5.10","P7",1,2.093664427,0.143440678
"Ponderosa Pine Meadow","Ambient","CAN","0.5","P11",1,1.963747473,0.209360559
"Ponderosa Pine Meadow","Ambient","CAN","0.5","P2",1,3.657894291,0.271621836
"Ponderosa Pine Meadow","Ambient","CAN","0.5","P5",1,3.176974668,0.232095958
"Ponderosa Pine Meadow","Ambient","CAN","0.5","P6",1,2.414045036,0.17729278
"Ponderosa Pine Meadow","Ambient","CAN","5.10","P11",1,2.388593861,0.174614357
"Ponderosa Pine Meadow","Ambient","CAN","5.10","P2",1,1.913184923,0.191046713
"Ponderosa Pine Meadow","Ambient","CAN","5.10","P5",1,2.467720011,0.182999207
"Ponderosa Pine Meadow","Ambient","CAN","5.10","P6",1,1.960780653,0.141247002
