"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Treatment",1.01399953491256,0.50699976745628,2,32.5081618541435,8.06744643981351,0.00142913673721462
"Site",89.2079935978401,22.30199839946,4,33.1601684374555,354.872307912775,1.04383016313584e-26
"Trip_date",30.5993825757129,6.11987651514259,5,176.947334557911,97.380273470131,6.34778190329913e-49
"Treatment:Site",0.291338523306114,0.0364173154132642,8,32.1068174718715,0.579477073633251,0.786972155651781
"Treatment:Trip_date",1.21130643289909,0.121130643289909,10,175.543260830151,1.92744659798245,0.0442611391166945
"Site:Trip_date",20.9382956478452,1.04691478239226,20,175.901879711329,16.6586445914433,8.49860235656428e-31
