site,date,Treatment,N,SWP,sd_SWP,se_SWP,VWC,sd_VWC,se_VWC
Antelope,180605,Add,3,-196338596.1838499,340064970.6793147,196336602.36366454,0.027405797101449275,0.01542910693769312,0.008907999043832646
Antelope,180605,Ctrl,3,-103963644032859.75,92750371332518.5,53549451856267.305,0.012020289855072464,0.005412820553002328,0.003125093403351033
Antelope,180605,Exl,3,-89111373065508.69,154345403274086.47,89111360128475.17,0.011060869565217391,0.004014454036332944,0.002317746118526205
Antelope,180606,Add,3,-14233344485254.893,24652875805290.6,14233344482482.941,0.02412777777777778,0.015510324369175425,0.008954889949761844
Antelope,180606,Ctrl,3,-128097954495513.17,112971712339457.22,65224248529998.59,0.009108333333333333,0.005897427640741154,0.003404881435908245
Antelope,180606,Exl,3,-99631741013144.83,172566729470088.56,99631447712728.97,0.007783333333333333,0.003990857607638293,0.0023041227140674345
Antelope,180607,Add,3,-28466317277642.066,49305107818086.016,28466317271195.484,0.02468611111111111,0.015079456991156814,0.008706128553077772
Antelope,180607,Ctrl,3,-163680342151615.97,145323755373481.75,83902709284527.02,0.009893055555555556,0.005533838978737328,0.0031949634240260403
Antelope,180607,Exl,3,-120981523952509.8,142152375225090.44,82071712102150.66,0.009204166666666666,0.003571883353980704,0.002062227815934703
Antelope,180608,Add,3,-28466228563664.18,49304954160953.29,28466228557208.543,0.025019444444444445,0.014973440220505006,0.008644919742003335
Antelope,180608,Ctrl,3,-163680428912548.38,151466879884800.72,87449443874802.4,0.010101388888888889,0.005610955202729482,0.0032394864967067974
Antelope,180608,Exl,3,-128097967124656,133327807710573.47,76976845672162.27,0.009830555555555554,0.0032657533091043365,0.0018854835521183
Antelope,180609,Add,3,-35582760451272.53,61631148966112.49,35582760446050.98,0.024604166666666667,0.015148240294759578,0.008745840611928579
Antelope,180609,Ctrl,3,-163680342251431.28,151466857975061.5,87449431225208.58,0.009837499999999999,0.005778818182235302,0.003336402233111456
Antelope,180609,Exl,3,-113864899804026.88,145323580224052.62,83902608161956.97,0.009536111111111112,0.0037464945035078877,0.0021630396101177322
Antelope,180610,Add,3,-28466225555955.098,49304948956625.93,28466225552488.74,0.024325,0.014749818737115982,0.008515811818372099
Antelope,180610,Ctrl,3,-163680431308533.22,151466977243977.78,87449500085149.5,0.009518055555555554,0.006112629703993866,0.0035291284050573612
Antelope,180610,Exl,3,-92515125105259.03,160240604552771.16,92514956173650.8,0.009268055555555555,0.004046316769377819,0.0023361420760267806
Antelope,180611,Add,3,-21349785684198.062,36978913529722.55,21349785680725.207,0.0258375,0.014978945292754538,0.008648098096948512
Antelope,180611,Ctrl,3,-156563806910283.28,142152740848463.2,82071923194903.34,0.010766666666666667,0.006051215155744432,0.003493670699093391
Antelope,180611,Exl,3,-99631654921873.16,154446631966873.44,89169804541505.44,0.01045,0.00345006290200306,0.0019918947451926083
Antelope,180612,Add,3,-280691622.0924649,486168981.7669338,280689792.4947855,0.0275,0.015242199735529573,0.008800088120350042
Antelope,180612,Ctrl,3,-142330834041047.62,138909311116743.31,80199328166197.23,0.01175,0.006489038567290055,0.003746448163606777
Antelope,180612,Exl,3,-92514928039137.8,160240535524184.28,92514916319977.6,0.011531944444444444,0.004032735693784794,0.0023283010383772632
Antelope,180613,Add,3,-9999643.881653307,17317129.25688437,9998049.238053735,0.025013888888888888,0.014852885833823425,0.008575317634400734
Antelope,180613,Ctrl,3,-113864896441074.1,130448430935005.77,75314436715689.89,0.009980555555555555,0.006964066168022284,0.004020705476762031
Antelope,180613,Exl,3,-85398574822118.625,147914665671051.6,85398572042275.14,0.009016666666666668,0.004397379270024869,0.0025388281052777383
Antelope,180614,Add,3,-1784232.9734061216,3087416.6379643898,1782520.82702927,0.02411111111111111,0.014160190513208866,0.008175389804577524
Antelope,180614,Ctrl,3,-135214671515513.45,151466677988459.22,87449327309895.3,0.008693055555555556,0.007779569858027237,0.004491536751711525
Antelope,180614,Exl,3,-92515014025683.7,160240701745840.34,92515012288095.47,0.008212500000000001,0.00454113720155352,0.002621826785743949
Antelope,180615,Add,3,-528447.0189013877,912122.0114141846,526613.8888237624,0.023805555555555555,0.01407472205501501,0.00812604456723208
Antelope,180615,Ctrl,3,-177913499519524.9,181576192686309.34,104833063725868.06,0.008215277777777778,0.008009068572446371,0.0046240378962600845
Antelope,180615,Exl,3,-113864521568546.92,197219133092305.84,113864519580187.42,0.007466666666666667,0.004207491665007919,0.002429196445405429
Antelope,180616,Add,3,-654747.426161918,1130060.8941819742,652440.961456632,0.021222222222222222,0.014848560380399523,0.008572820332702078
Antelope,180616,Ctrl,3,-256195351893649.88,256195163342583.53,147914346520920.75,0.005105555555555556,0.007048883547006523,0.00406967481335054
Antelope,180616,Exl,3,-170796778673665.1,295828690373421.06,170796774021109.12,0.004505555555555555,0.003833707711187019,0.0022133921790481697
Antelope,180617,Add,3,-2116294.243585285,3660334.931156819,2113295.35782758,0.025875000000000002,0.014065879223615328,0.008120939156143075
Antelope,180617,Ctrl,3,-170796966223724.06,161186069967902.6,93060820885586.42,0.009713888888888888,0.006931560687523036,0.004001938428845653
Antelope,180617,Exl,3,-92515302040689.89,160240451957216.5,92514868072566.25,0.0093375,0.0035448343677024524,0.0020466110764256478
Antelope,180618,Add,3,-7116720440441.285,12326521377721.096,7116720435598.952,0.025779166666666666,0.01395558866050125,0.008057262869840086
Antelope,180618,Ctrl,3,-163680434295302.8,151466884283912.56,87449446414630.81,0.0103375,0.007184579116645131,0.004148018687009231
