"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.672660640678289,0.125170445520072,-5.3739573897292,1.17748594284153e-07
"C_0.5",-0.206087252094222,0.095091097460046,-2.16726126418735,0.0306806893208153
"plot_mean_ANPP",0.152628367912701,0.0497636233375456,3.06706701956621,0.0022774021411644
"SiteDesert Grassland",0.123910495806991,0.0804780324860144,1.53968097851453,0.124263229707678
"SiteJuniper Savanna",1.16725840434759,0.156974308402152,7.43598373663286,4.47038465115659e-13
"SitePonderosa Pine Meadow",0.629057044433588,0.156828130468065,4.01112378599504,6.95512457214172e-05
"SiteMixed Conifer Meadow",1.44332814473918,0.285919081773165,5.04803014820902,6.2380222416303e-07
"Tsoil_C",-0.318469491533847,0.0425784209737488,-7.47959845035576,3.3179311089776e-13
"VWC",0.220280194491266,0.028111647067119,7.83590495303701,2.76396606151216e-14
