Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,11,Can,lower,71.15168468,71.02709451,157.8379878
ANT,Add,2,IC,upper,59.73630832,72.63438134,161.4097363
ANT,Ctrl,7,IC,lower,88.09256051,43.50003544,96.66674542
ANT,Exl,12,Can,upper,88.22830571,93.71022193,208.2449376
ANT,Exl,12,IC,lower,67.29894599,52.60743052,116.9054012
ANT,Exl,4,IC,lower,37.39738485,43.29987681,96.22194847
ANT,Exl,6,Can,upper,141.1154869,114.8056638,255.1236972
ARB,Add,9,Can,upper,92.50310294,157.616795,350.2595445
ARB,Add,9,IC,lower,74.61656442,82.83621528,184.0804784
ARB,Exl,1,IC,lower,92.74721586,119.3281161,265.1735914
ARB,Exl,10,Can,lower,84.05303713,98.5770323,219.0600718
ARB,Exl,10,IC,lower,68.46861538,114.6819374,254.8487497
BC,Add,6,Can,lower,155.1089212,155.3355009,345.190002
BC,Add,9,IC,lower,175.8591615,141.0073996,313.3497768
BC,Ctrl,3,Can,lower,181.9244563,180.0268412,400.0596471
BC,Ctrl,3,IC,upper,170.467972,209.9872829,466.6384065
BC,Exl,10,IC,upper,143.0474751,197.4929962,438.873325
BP,Add,10,Can,lower,66.9424357,30.77381355,68.38625234
BP,Add,9,IC,lower,77.92863069,10.25368106,22.7859579
CC,Add,11,IC,upper,249.6315299,166.0295314,368.9545142
CC,Add,6,Can,lower,329.4368502,242.293303,538.4295622
CC,Add,6,Can,upper,332.5401402,198.9633702,442.1408227
CC,Add,6,IC,upper,254.2204463,194.8749405,433.0554233
CC,Ctrl,1,Can,lower,236.7805881,38.00412613,84.45361363
