Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,1,IC,lower,31.16090657,50.09689745,111.3264388
ANT,Add,2,IC,lower,45.51859665,75.30152377,167.3367195
ANT,Add,5,IC,lower,43.02401958,60.56711149,134.5935811
ANT,Ctrl,3,Can,upper,230.9182824,61.82084009,137.3796446
ANT,Ctrl,7,Can,upper,59.45295427,64.7558505,143.90189
ANT,Ctrl,8,Can,upper,86.03309963,99.74447079,221.6543795
ANT,Exl,6,IC,upper,76.14001645,75.53711923,167.860265
ARB,Add,12,Can,upper,82.73049384,91.87755721,204.1723493
ARB,Add,12,Can,upper,79.27763638,106.9195914,237.599092
ARB,Add,12,Can,upper,74.137577,108.6588809,241.4641798
ARB,Add,12,Can,upper,112.3497317,168.7541988,375.0093307
ARB,Add,3,Can,lower,121.2926442,133.8815668,297.514593
ARB,Add,3,Can,upper,108.0179855,220.2114174,489.3587053
ARB,Exl,1,Can,upper,98.32837138,253.784404,563.9653422
ARB,Exl,4,Can,lower,105.4913565,101.6418529,225.8707843
ARB,Exl,7,Can,lower,96.03492402,137.170495,304.8233222
ARB,Exl,7,IC,lower,85.81674129,107.7582511,239.4627803
BC,Add,11,IC,lower,168.1465297,174.6398887,388.0886416
BC,Add,1,Can,upper,153.729304,96.30279519,214.0062115
BC,Add,1,Can,upper,135.3904496,118.055812,262.346249
BC,Add,1,Can,upper,139.3617408,108.1296721,240.2881603
BC,Add,1,Can,upper,184.7801626,148.8456235,330.7680522
BC,Add,1,IC,upper,171.1707222,172.9202954,384.2673231
BC,Add,9,Can,upper,176.5171801,261.7767597,581.7261326
BC,Add,9,IC,upper,181.8188623,171.1632063,380.3626807
BC,Ctrl,3,Can,upper,164.2423624,242.3631611,538.5848024
BC,Ctrl,5,IC,upper,141.9637682,137.1670301,304.8156223
BC,Ctrl,7,IC,upper,125.6403519,217.2902091,482.8671314
BP,Add,12,IC,lower,36.75754427,16.61847287,36.92993971
BP,Ctrl,3,IC,upper,48.91409855,16.41472822,36.47717383
BP,Ctrl,3,IC,upper,44.09702687,11.92864611,26.50810246
BP,Ctrl,3,IC,upper,43.47350556,15.44613001,34.32473335
BP,Ctrl,3,IC,upper,53.59150548,9.423209114,20.9404647
BP,Ctrl,6,Can,upper,63.95451677,28.57801295,63.50669545
BP,Ctrl,8,Can,upper,170.7318351,59.73262266,132.7391615
BP,Exl,2,Can,upper,98.06708994,53.85626487,119.6805886
BP,Exl,4,Can,upper,82.89908133,42.09590735,93.54646078
BP,Exl,4,IC,lower,30.777332,8.781904892,19.5153442
BP,Exl,7,Can,upper,92.46395153,24.04395572,53.43101272
BP,Exl,7,IC,lower,66.17188238,27.87894315,61.953207
CC,Add,4,Can,lower,258.2212529,118.0853609,262.4119131
CC,Add,4,Can,upper,279.4271339,150.8127533,335.1394518
CC,Add,9,Can,lower,222.2568465,134.9179713,299.817714
CC,Ctrl,7,Can,lower,233.90091,123.3352561,274.0783469
CC,Exl,10,IC,lower,226.8905394,131.3666922,291.9259827
CC,Exl,2,IC,lower,258.2758325,115.7429334,257.2065186
CC,Exl,8,IC,lower,234.2677388,109.1528849,242.5619665
CC,Exl,8,IC,upper,219.0437285,183.6557953,408.1239894
