Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,5,Can,upper,102.6015673,86.62059131,192.4902029
ANT,Ctrl,8,Can,lower,60.81045585,59.89223734,133.0938608
ANT,Ctrl,8,IC,upper,53.99797571,88.64625506,196.9916779
ANT,Exl,9,Can,upper,119.6339017,68.98799134,153.3066474
ANT,Exl,9,IC,upper,47.47599307,68.84213193,152.9825154
ARB,Add,9,IC,upper,67.77244546,140.4660161,312.1467024
ARB,Ctrl,2,Can,upper,120.6315883,234.495939,521.1020867
ARB,Ctrl,5,Can,upper,108.7646152,186.613347,414.6963268
ARB,Exl,7,IC,upper,60.40247813,131.9095716,293.1323814
BC,Add,1,Can,upper,173.4749348,247.4717215,549.937159
BC,Add,9,Can,lower,188.9504092,163.1778111,362.6173581
BC,Ctrl,2,Can,upper,220.7380112,256.4291437,569.8425415
BC,Ctrl,2,IC,lower,171.2584322,157.1458954,349.2131008
BC,Exl,8,Can,upper,184.4650206,237.4568315,527.6818477
BP,Add,10,IC,upper,46.9720431,15.82475519,35.16612264
BP,Add,12,Can,upper,85.49677087,31.13364929,69.1858873
BP,Ctrl,3,IC,lower,46.81239028,11.59538077,25.76751283
BP,Exl,2,IC,lower,49.54773869,18.36993258,40.82207239
BP,Exl,7,IC,upper,69.49216229,21.14798307,46.99551792
CC,Add,4,IC,upper,226.6408255,146.8520906,326.3379792
CC,Ctrl,12,IC,lower,367.2606573,166.3798722,369.7330494
CC,Ctrl,7,IC,upper,219.8448968,163.9783778,364.396395
CC,Exl,2,Can,lower,238.2667453,125.2247975,278.2773278
CC,Exl,5,IC,upper,280.9102205,154.5699408,343.4887574
