Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,1,IC,upper,32.06169879,86.62257826,192.4946184
ANT,Add,1,IC,upper,34.85227563,75.35632649,167.4585033
ANT,Add,1,IC,upper,30.32601877,78.04064668,173.4236593
ANT,Ctrl,10,Can,lower,42.30402763,55.77140676,123.9364595
ANT,Ctrl,10,Can,lower,46.23712534,63.55238025,141.2275117
ANT,Ctrl,10,Can,lower,44.62462158,57.81180572,128.4706794
ANT,Ctrl,3,Can,lower,78.09766551,92.50113077,205.5580684
ANT,Ctrl,3,Can,lower,74.52728538,92.67203569,205.9378571
ANT,Ctrl,3,Can,lower,68.80967128,82.40688489,183.1264109
ARB,Add,3,IC,upper,38.14060958,223.9123892,497.5830871
ARB,Add,3,IC,upper,40.40219409,222.631199,494.7359978
ARB,Add,3,IC,upper,38.90023581,232.2704707,516.1566016
ARB,Ctrl,11,IC,upper,41.13505837,160.9035056,357.5633458
ARB,Ctrl,11,IC,upper,44.2578125,157.1200819,349.1557375
ARB,Ctrl,11,IC,upper,41.33519158,163.4114744,363.1366097
ARB,Exl,7,Can,upper,58.8604712,191.3433109,425.2073576
ARB,Exl,7,Can,upper,50.64437776,211.2397427,469.4216504
ARB,Exl,7,Can,upper,57.74121918,187.0808017,415.7351149
BC,Exl,12,Can,upper,258.4250918,274.9940532,611.097896
BC,Exl,12,Can,upper,239.5181033,312.064167,693.4759266
BC,Exl,12,Can,upper,234.6398169,324.7905824,721.7568497
BC,Exl,12,IC,lower,166.5160124,171.3026049,380.6724553
BC,Exl,12,IC,lower,201.5769984,148.7557855,330.5684122
BC,Exl,12,IC,lower,186.8093879,176.5704119,392.3786932
BP,Add,12,Can,lower,124.2611468,27.75660053,61.6813345
BP,Add,12,Can,lower,152.4979502,0,0
BP,Add,12,Can,lower,115.1112517,36.90433853,82.00964117
BP,Add,9,IC,upper,117.3988692,41.35933941,91.90964313
BP,Add,9,IC,upper,130.5714526,19.5615138,43.47003067
BP,Add,9,IC,upper,98.86220761,45.67141651,101.4920367
BP,Ctrl,5,Can,lower,99.4121428,34.06257293,75.6946065
BP,Ctrl,5,Can,lower,125.3169046,3.748860525,8.330801167
BP,Ctrl,5,Can,lower,119.9560216,31.07962263,69.06582807
BP,Ctrl,5,IC,upper,100.0128785,34.42079218,76.49064929
BP,Ctrl,5,IC,upper,100.6399588,23.06138566,51.24752368
BP,Ctrl,5,IC,upper,97.62353526,0,0
CC,Ctrl,3,Can,upper,128.5965788,263.1748364,584.8329698
CC,Ctrl,3,Can,upper,124.1941074,268.8193349,597.3762998
CC,Ctrl,3,Can,upper,122.4567285,264.315771,587.36838
CC,Ctrl,7,IC,lower,82.84335106,171.7635681,381.6968179
CC,Ctrl,7,IC,lower,79.37207447,134.5967835,299.1039632
CC,Ctrl,7,IC,lower,76.57740832,132.3974481,294.2165513
CC,Exl,10,Can,upper,191.5109554,211.5193898,470.0430884
CC,Exl,10,Can,upper,222.7232108,191.8927941,426.4284314
CC,Exl,5,Can,lower,105.0357066,201.8205567,448.4901261
CC,Exl,5,Can,lower,114.7835569,176.8842667,393.0761482
CC,Exl,5,Can,lower,112.4947111,183.0118963,406.6931029
