Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,1,Can,upper,140.0825344,96.96268849,215.4726411
ANT,Add,11,Can,upper,104.803998,117.6530163,261.4511474
ANT,Ctrl,10,Can,upper,78.63875578,71.97485228,159.9441162
ANT,Ctrl,10,IC,upper,48.39551984,69.75815574,155.0181239
ANT,Exl,6,Can,lower,88.52250576,98.95262974,219.8947327
ANT,Exl,6,IC,lower,50.96153846,64.89056936,144.2012652
ANT,Exl,9,Can,lower,73.40505318,70.31768045,156.2615121
ARB,Add,8,IC,upper,72.91322333,155.6614918,345.9144262
ARB,Ctrl,6,Can,lower,92.34016814,84.11910149,186.9313366
BC,Add,6,Can,upper,143.7176836,184.6768356,410.3929679
BC,Exl,4,Can,upper,155.6538911,167.7981519,372.8847819
BP,Add,10,IC,lower,46.89393939,18.79960263,41.77689474
BP,Add,11,IC,upper,65.96007647,36.75948516,81.68774479
BP,Add,12,IC,upper,41.90988572,18.63613331,41.41362958
BP,Ctrl,3,Can,lower,131.8278392,52.51778141,116.7061809
BP,Ctrl,5,Can,upper,79.57286432,53.19399894,118.2088865
BP,Exl,4,IC,upper,26.98843519,19.21888072,42.70862382
CC,Add,11,Can,lower,262.5872673,73.34693571,162.9931905
CC,Add,11,IC,lower,264.4683027,91.72667299,203.8370511
CC,Add,6,Can,upper,301.7616243,186.4065651,414.2368113
CC,Ctrl,1,Can,upper,278.3266932,214.2842031,476.187118
CC,Ctrl,1,IC,lower,210.241573,102.7375419,228.3056486
CC,Ctrl,3,Can,lower,285.3882878,130.7651076,290.5891279
CC,Exl,5,IC,lower,233.4417553,58.62993261,130.2887391
