Site,Treatment,Plot,Microsite,Depth,Root_mass
ARB,Add,9,IC,upper,0.1697
ARB,Add,9,IC,lower,0.5652
ARB,Add,12,Can,upper,1.7205
ARB,Add,12,Can,lower,0.9857
ARB,Add,12,IC,upper,0.8059
ARB,Add,12,IC,lower,0.7119
ARB,Exl,1,Can,upper,0.2748
ARB,Exl,1,Can,lower,0.6552
ARB,Exl,1,IC,upper,0.4927
ARB,Exl,1,IC,lower,0.2285
ARB,Exl,4,Can,upper,0.1174
ARB,Exl,4,Can,lower,0.6005
ARB,Exl,4,IC,upper,0.251
ARB,Exl,4,IC,lower,0.3843
ARB,Exl,7,Can,upper,1.1555
ARB,Exl,7,Can,lower,0.8299
ARB,Exl,7,IC,upper,0.184
ARB,Exl,7,IC,lower,0.2269
ARB,Exl,10,Can,upper,0.4395
ARB,Exl,10,Can,lower,0.3617
ARB,Exl,10,IC,upper,0.4729
ARB,Exl,10,IC,lower,0.1132
ARB,Ctrl,2,Can,upper,0.382
ARB,Ctrl,2,Can,lower,1.5113
ARB,Ctrl,2,IC,upper,0.3696
ARB,Ctrl,2,IC,lower,0.6432
ARB,Ctrl,5,Can,upper,0.2032
ARB,Ctrl,5,Can,lower,1.4923
ARB,Ctrl,5,IC,upper,0.1098
ARB,Ctrl,5,IC,lower,0.216
ARB,Ctrl,6,Can,upper,0.4551
ARB,Ctrl,6,Can,lower,2.3868
ARB,Ctrl,6,IC,upper,0.4506
ARB,Ctrl,6,IC,lower,0.6279
ARB,Ctrl,11,Can,upper,0.8576
ARB,Ctrl,11,Can,lower,0.5055
ARB,Ctrl,11,IC,upper,0.6312
ARB,Ctrl,11,IC,lower,0.5141
CC,Add,4,Can,upper,0.4166
CC,Add,4,Can,lower,1.1809
CC,Add,4,IC,upper,0.3101
CC,Add,4,IC,lower,0.3154
CC,Add,6,Can,upper,0.0944
CC,Add,6,Can,lower,0.4725
CC,Add,6,IC,upper,0.1879
CC,Add,6,IC,lower,1.0082
CC,Add,9,Can,upper,0.5448
CC,Add,9,Can,lower,0.5771
CC,Add,9,IC,upper,2.8466
CC,Add,9,IC,lower,2.1893
CC,Add,11,Can,upper,0.5451
CC,Add,11,Can,lower,0.4168
CC,Add,11,IC,upper,0.6109
CC,Add,11,IC,lower,0.8785
CC,Exl,2,Can,upper,0.1397
CC,Exl,2,Can,lower,0.6993
CC,Exl,2,IC,upper,0.2053
CC,Exl,2,IC,lower,0.4516
CC,Exl,5,Can,upper,NA
CC,Exl,5,Can,lower,2.0548
CC,Exl,5,IC,upper,0.4228
CC,Exl,5,IC,lower,0.5363
CC,Exl,8,Can,upper,0.2996
CC,Exl,8,Can,lower,NA
CC,Exl,8,IC,upper,0.9388
CC,Exl,8,IC,lower,0.1882
CC,Exl,10,Can,upper,2.6586
CC,Exl,10,Can,lower,0.6122
CC,Exl,10,IC,upper,0.4606
CC,Exl,10,IC,lower,0.6992
CC,Ctrl,1,Can,upper,0.8034
CC,Ctrl,1,Can,lower,0.5102
CC,Ctrl,1,IC,upper,0.3859
CC,Ctrl,1,IC,lower,0.4447
CC,Ctrl,3,Can,upper,3.156
CC,Ctrl,3,Can,lower,0.8422
CC,Ctrl,3,IC,upper,1.8802
CC,Ctrl,3,IC,lower,1.6078
CC,Ctrl,7,Can,upper,1.2761
CC,Ctrl,7,Can,lower,1.5691
CC,Ctrl,7,IC,upper,0.4002
CC,Ctrl,7,IC,lower,1.7378
CC,Ctrl,12,Can,upper,0.6591
CC,Ctrl,12,Can,lower,0.2776
CC,Ctrl,12,IC,upper,0.6122
CC,Ctrl,12,IC,lower,0.1879
