Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,2,Can,lower,94.2114167,53.53673204,118.9705156
ANT,Add,5,IC,upper,39.43718108,55.37095916,123.0465759
ARB,Add,12,IC,lower,102.6858792,94.14995066,209.2221126
ARB,Add,3,IC,lower,131.3484223,86.8144216,192.9209369
ARB,Add,8,Can,lower,96.42674222,90.06247477,200.1388328
ARB,Add,9,Can,lower,148.238978,59.03395839,131.1865742
ARB,Ctrl,11,Can,lower,101.6475659,112.1878178,249.3062617
ARB,Ctrl,11,IC,lower,89.36884011,83.18115811,184.847018
ARB,Ctrl,2,IC,lower,121.5805188,97.96634013,217.7029781
ARB,Ctrl,2,IC,upper,120.1115619,189.8059599,421.791022
ARB,Exl,1,IC,upper,119.1155711,194.3922745,431.9828323
ARB,Exl,4,IC,lower,81.75832627,129.763262,288.3628045
ARB,Exl,4,IC,upper,78.21431642,171.3299418,380.7332039
BC,Add,11,IC,upper,148.8426286,157.4715076,349.9366834
BC,Exl,4,IC,lower,167.1246169,134.0039057,297.786457
BC,Exl,4,IC,upper,134.4934493,188.1186476,418.041439
BC,Exl,8,IC,lower,200.8178575,108.6593853,241.4653007
BP,Ctrl,6,IC,lower,44.73824473,9.927719055,22.0615979
BP,Exl,1,IC,lower,70.42352822,7.867562912,17.48347314
BP,Exl,7,Can,lower,75.26779589,19.21751916,42.70559812
CC,Add,9,Can,upper,136.8788187,39.28625909,87.30279798
CC,Ctrl,1,IC,upper,213.023374,159.5657395,354.5905323
CC,Exl,2,IC,upper,199.1363999,102.7291733,228.2870518
CC,Exl,8,Can,upper,112.9845653,55.02867247,122.2859388
