Date/time,Sample,Details,soilmass_g,BulkDensity,soil_pctC,temperature,CO2(ppmv)
2/8/19 16:38,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,3939.4
2/8/19 16:39,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,3826.8
2/8/19 16:40,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,6792.8
2/8/19 16:41,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,8623.2
2/8/19 16:42,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,6714.4
2/8/19 16:43,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4801.9
2/8/19 16:49,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,11169.5
2/8/19 16:52,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,12983.8
2/8/19 16:54,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,13772.3
2/9/19 13:36,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1583
2/9/19 13:37,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,2195.2
2/9/19 13:38,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,2354.9
2/9/19 13:40,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,3042.7
2/9/19 13:41,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,4750.8
2/9/19 13:41,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4156.1
2/9/19 13:42,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,5627.2
2/9/19 13:43,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,5623.9
2/9/19 13:44,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,5099.2
2/9/19 13:46,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,6865.9
2/9/19 13:51,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,5907.6
2/9/19 13:55,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,7052.3
2/9/19 13:57,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,8623.1
2/9/19 13:59,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,10567.1
2/9/19 14:01,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,12189.7
2/10/19 15:35,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1802.6
2/10/19 15:36,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,2969.2
2/10/19 15:36,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,3424
2/10/19 15:37,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,4991.3
2/10/19 15:38,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,8352.1
2/10/19 15:39,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4145.1
2/10/19 15:40,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,4340.7
2/10/19 15:41,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,2981.2
2/10/19 15:41,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,4694.2
2/10/19 15:42,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,4704.1
2/10/19 15:43,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,5540.8
2/10/19 15:44,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4608.5
2/10/19 15:45,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,9377.7
2/10/19 15:50,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,11570.9
2/10/19 15:51,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,12751.7
2/11/19 16:23,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1811.5
2/11/19 16:24,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,4277.7
2/11/19 16:26,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,4661.2
2/11/19 16:27,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,6011.6
2/11/19 16:31,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,5205.1
2/11/19 16:33,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4028.4
2/11/19 16:36,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,5749.7
2/11/19 16:38,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,3344.5
2/11/19 16:39,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,6404.1
2/11/19 16:41,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,8674.4
2/11/19 16:43,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,5520.2
2/11/19 16:45,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,6243.7
2/11/19 16:48,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,9648.4
2/11/19 16:50,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,10962.3
2/11/19 16:53,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,11234.6
2/12/19 16:42,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1879.1
2/12/19 16:42,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,2942.3
2/12/19 16:43,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,4927.3
2/12/19 16:44,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,2939.8
2/12/19 16:45,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,4752.7
2/12/19 16:46,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3842.3
2/12/19 16:47,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,3535.1
2/12/19 16:48,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,3625.8
2/12/19 16:49,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,3625.5
2/12/19 16:49,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,5768.2
2/12/19 16:50,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,5183.5
2/12/19 16:54,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,2756.8
2/12/19 16:55,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,8525.5
2/12/19 16:56,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,9786.8
2/12/19 16:57,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,10057.3
2/13/19 15:56,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1924.4
2/13/19 15:57,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,3934.7
2/13/19 15:58,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,6428.8
2/13/19 15:59,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,4567.4
