Site,Treatment,Plot,Microsite,Depth,Enzyme,Activity
BC,Add,9,Can,0-5,NAG,17.7332162
BC,Add,9,Can,0-5,PHOS,2208.56425
BC,Add,11,Can,0-5,BG,1625.38841
BC,Add,11,Can,0-5,CBH,NA
BC,Add,11,Can,0-5,NAG,9.10530085
BC,Add,11,Can,0-5,PHOS,2022.76018
BC,Exl,4,Can,0-5,BG,1441.58309
BC,Exl,4,Can,0-5,CBH,1738.51017
BC,Exl,4,Can,0-5,NAG,22.1718017
BC,Exl,4,Can,0-5,PHOS,1547.90178
BC,Exl,8,Can,0-5,BG,2902.34665
BC,Exl,8,Can,0-5,CBH,356.885981
BC,Exl,8,Can,0-5,NAG,13.6954602
BC,Exl,8,Can,0-5,PHOS,420.355668
BC,Exl,10,Can,0-5,BG,3953.0249
BC,Exl,10,Can,0-5,CBH,707.500785
BC,Exl,10,Can,0-5,NAG,12.6984887
BC,Exl,10,Can,0-5,PHOS,1513.02082
BC,Exl,12,Can,0-5,BG,3176.299
BC,Exl,12,Can,0-5,CBH,NA
BC,Exl,12,Can,0-5,NAG,6.98134834
BC,Exl,12,Can,0-5,PHOS,1002.82977
BC,Ctrl,2,Can,0-5,BG,1753.55611
BC,Ctrl,2,Can,0-5,CBH,4254.92564
BC,Ctrl,2,Can,0-5,NAG,21.5377308
BC,Ctrl,2,Can,0-5,PHOS,2048.03041
BC,Ctrl,3,Can,0-5,BG,2497.5679
BC,Ctrl,3,Can,0-5,CBH,227.304549
BC,Ctrl,3,Can,0-5,NAG,10.9657739
BC,Ctrl,3,Can,0-5,PHOS,349.58548
BC,Ctrl,5,Can,0-5,BG,1644.07527
BC,Ctrl,5,Can,0-5,CBH,220.40663
BC,Ctrl,5,Can,0-5,NAG,8.98352456
BC,Ctrl,5,Can,0-5,PHOS,619.74441
BC,Ctrl,7,Can,0-5,BG,1950.02256
BC,Ctrl,7,Can,0-5,CBH,NA
BC,Ctrl,7,Can,0-5,NAG,8.27364067
BC,Ctrl,7,Can,0-5,PHOS,1419.91381
ARB,Add,3,Can,0-5,BG,4511.31131
ARB,Add,3,Can,0-5,CBH,9591.95041
ARB,Add,3,Can,0-5,NAG,77.1724031
ARB,Add,3,Can,0-5,PHOS,3792.10792
ARB,Add,8,Can,0-5,BG,7403.85899
ARB,Add,8,Can,0-5,CBH,1454.2429
ARB,Add,8,Can,0-5,NAG,73.4694115
ARB,Add,8,Can,0-5,PHOS,2020.97574
