Site,Trt,Canopy,Depth,Plot,run_date,PctN,PctC
Antelope,Ctrl,IC,10-May,3,190422,0.089039937,0.945311561
Antelope,Ctrl,IC,10-May,8,190426,0.077708054,0.761784293
BlueChute,Add,Can,0-5,1,190227,0.219130154,2.970732511
BlueChute,Add,Can,0-5,9,190402,0.205850948,3.363955776
BlueChute,Add,Can,0-5,11,190426,0.200875839,2.112808283
BlueChute,Add,Can,0-5,6,190627,0.212217426,2.36697454
BlueChute,Add,Can,0-5,1,190627,0.218660272,2.453091413
BlueChute,Add,Can,10-May,11,190201,0.224864895,2.279479182
BlueChute,Add,Can,10-May,9,190820,0.227669059,2.341035337
BlueChute,Add,IC,0-5,6,190201,0.200827972,2.01974027
BlueChute,Add,IC,0-5,11,190227,0.211812449,2.970404602
BlueChute,Add,IC,0-5,1,190402,0.21753934,3.074864638
BlueChute,Add,IC,0-5,9,190402,0.217346144,3.602372367
BlueChute,Add,IC,10-May,6,190201,0.217997203,2.181337393
BlueChute,Add,IC,10-May,1,190201,0.206134825,2.170531903
BlueChute,Add,IC,10-May,11,190422,0.031090188,0.921710862
BlueChute,Add,IC,10-May,11,190422,0.219402275,3.096366071
BlueChute,Exl,Can,0-5,10,190422,0.246556996,3.478743104
BlueChute,Exl,Can,0-5,12,190402,0.236279408,3.519802433
BlueChute,Exl,Can,0-5,8,190627,0.223418066,2.468175494
BlueChute,Exl,Can,0-5,12,190627,0.248,2.73861562
BlueChute,Exl,Can,10-May,8,190422,0.237505422,4.109733483
BlueChute,Exl,Can,10-May,4,190402,0.206237341,3.826220603
BlueChute,Exl,Can,10-May,12,190627,0.242845723,2.60156164
BlueChute,Exl,Can,10-May,10,190627,0.236799361,2.545637498
BlueChute,Exl,IC,0-5,12,190201,0.247861259,2.178674507
BlueChute,Exl,IC,0-5,2,190422,0.018398307,0.741213716
BlueChute,Exl,IC,0-5,8,190402,0.228744742,3.574981226
BlueChute,Exl,IC,0-5,8,190627,0.238682654,2.559334752
BlueChute,Exl,IC,0-5,4,190709,0.219742905,2.242433818
BlueChute,Exl,IC,10-May,4,190201,0.195937343,2.173718294
BlueChute,Exl,IC,10-May,10,190422,0.19824914,2.986724134
BlueChute,Exl,IC,10-May,8,190402,0.211067255,3.758208101
BlueChute,Exl,IC,10-May,8,190627,0.230554756,2.391990287
BlueChute,Exl,IC,10-May,12,190627,0.258705036,2.833954302
BlueChute,Ctrl,Can,0-5,5,190422,0.211826501,2.926136488
BlueChute,Ctrl,Can,0-5,3,190313,0.232453639,3.103976423
BlueChute,Ctrl,Can,0-5,2,190627,0.247306155,2.720803132
BlueChute,Ctrl,Can,0-5,7,190820,0.217445032,2.19521197
BlueChute,Ctrl,Can,10-May,7,190201,0.209256503,2.304939026
BlueChute,Ctrl,Can,10-May,2,190201,0.223512168,2.144105199
BlueChute,Ctrl,Can,10-May,5,190422,0.215663581,3.161632547
BlueChute,Ctrl,Can,10-May,3,190820,0.1963,1.7922
