Site,Treatment,Plot,Microsite,Depth,Initial mass (g),mass after sieving (g) ,mass of roots (g),mass of dry roots (g)
BC,Add,1,IC,upper,214.8,163.1,0.6,0.5628
BC,Add,1,IC,lower,274.4,221.7,0.4,0.3387
BC,Add,6,Can,upper,200.1,147.8,0.7,
BC,Add,6,Can,lower,199.2,136.3,0.2,0.2036
BC,Add,6,IC,upper,192.5,134.1,0.4,0.4234
BC,Add,6,IC,lower,206.6,161.2,0.4,0.3544
BC,Add,9,Can,upper,224.7,159.1,1.2,0.9453
BC,Add,9,Can,lower,324.4,243.3,0.8,0.794
BC,Add,9,IC,upper,243.4,185.7,0.5,0.5905
BC,Add,9,IC,lower,284,227.6,0.4,0.3864
BC,Add,11,Can,upper,183.2,135.1,0.7,0.7507
BC,Add,11,Can,lower,155.8,126.4,0.3,0.3216
BC,Add,11,IC,upper,258.9,196.9,0.3,
BC,Add,11,IC,lower,277.3,182.4,0.5,0.3031
BC,Exl,4,Can,upper,201.3,163.6,0.4,0.3514
BC,Exl,4,Can,lower,259.7,216.8,0.5,0.5079
BC,Exl,4,IC,upper,207.9,183.8,0.3,0.2786
BC,Exl,4,IC,lower,316.3,267.5,0.4,0.4316
BC,Exl,8,Can,upper,192.5,140.4,0.5,0.4779
BC,Exl,8,Can,lower,241.3,183.6,0.3,0.3206
BC,Exl,8,IC,upper,245.5,215.7,0.3,0.3265
BC,Exl,8,IC,lower,376.5,295.3,0.3,0.3678
BC,Exl,10,Can,upper,,137.5,0.7,0.7
BC,Exl,10,Can,lower,259.7,177.9,0.3,0.3369
BC,Exl,10,IC,upper,288.3,210.1,0.5,0.4445
BC,Exl,10,IC,lower,236.4,169.5,0.1,0.1604
BC,Exl,12,Can,upper,232.3,162.6,0.4,0.3904
BC,Exl,12,Can,lower,205,168.7,0.4,0.3576
BC,Exl,12,IC,upper,297.4,224.7,0.7,0.6467
BC,Exl,12,IC,lower,286,234.3,0.4,0.4679
BC,Ctrl,2,Can,upper,196.2,137.9,0.5,0.5795
BC,Ctrl,2,Can,lower,165.4,122.9,1.9,1.8224
BC,Ctrl,2,IC,upper,222.1,167.6,0.3,0.2412
BC,Ctrl,2,IC,lower,332.3,223,0.3,0.3587
BC,Ctrl,3,Can,upper,277.8,220.9,1,0.8231
BC,Ctrl,3,Can,lower,246.5,195,0.5,0.4685
BC,Ctrl,3,IC,upper,235,189.6,0.3,0.2082
BC,Ctrl,3,IC,lower,200.8,170,0.4,0.3949
BC,Ctrl,5,Can,upper,233,167.6,0.5,0.5598
BC,Ctrl,5,Can,lower,219.8,157.1,0.4,0.388
BC,Ctrl,5,IC,upper,220.7,,,0.4373
BC,Ctrl,5,IC,lower,291.4,234.3,1.1,1.1811
BC,Ctrl,7,Can,upper,214.9,171.8,0.5,0.5014
BC,Ctrl,7,Can,lower,200.6,166,0.3,0.2203
BC,Ctrl,7,IC,upper,215.8,157.8,0.6,0.5974
BC,Ctrl,7,IC,lower,247.4,169.4,1,1.0409
ARB,Add,3,Can,upper,214.7,188.4,0.2,0.2297
ARB,Add,3,Can,lower,209.2,180.8,0.7,0.5996
ARB,Add,3,IC,upper,180,150,0.4,0.4177
ARB,Add,3,IC,lower,255.3,72.2,0,0.1104
ARB,Add,8,Can,upper,198.9,168.4,0.5,0.5136
ARB,Add,8,Can,lower,255,222.4,0.5,0.4341
ARB,Add,8,IC,upper,218.6,178.8,0.3,0.3226
ARB,Add,8,IC,lower,198.4,174.9,0.5,0.4756
ARB,Add,9,Can,upper,207,167.4,0.8,0.8721
ARB,Add,9,Can,lower,186,145.5,1.2,1.2442
ARB,Add,9,IC,upper,212.9,199.1,0,0.1697
ARB,Add,9,IC,lower,244.3,199.4,0.6,0.5652
ARB,Add,12,Can,upper,210.7,184.1,1.7,1.7205
ARB,Add,12,Can,lower,186.9,152,1,0.9857
ARB,Add,12,IC,upper,294.5,253.7,0.9,0.8059
ARB,Add,12,IC,lower,188.3,162.6,0.7,0.7119
ARB,Exl,1,Can,upper,150,141.7,0.3,0.2748
ARB,Exl,1,Can,lower,193.2,180.2,0.7,0.6552
ARB,Exl,1,IC,upper,214.6,197.9,0.5,0.4927
ARB,Exl,1,IC,lower,168,157.8,0.1,0.2285
ARB,Exl,4,Can,upper,227.9,217,0.1,0.1174
ARB,Exl,4,Can,lower,214.3,188.3,0.3,0.6005
ARB,Exl,4,IC,upper,200.8,184,0.2,0.251
ARB,Exl,4,IC,lower,243.3,220.5,0.4,0.3843
ARB,Exl,7,Can,upper,192.5,179.7,1.3,1.1555
ARB,Exl,7,Can,lower,199.7,161.7,0.6,0.8299
ARB,Exl,7,IC,upper,256.2,236,0.1,0.184
ARB,Exl,7,IC,lower,212.3,186.7,0.2,0.2269
ARB,Exl,10,Can,upper,239.6,224.9,0.5,0.4395
ARB,Exl,10,Can,lower,190.2,160.9,0.4,0.3617
ARB,Exl,10,IC,upper,235.7,219.2,0.5,0.4729
ARB,Exl,10,IC,lower,229,199.3,0.1,0.1132
ARB,Ctrl,2,Can,upper,151.3,143.7,0.3,0.382
ARB,Ctrl,2,Can,lower,275.2,221.5,1.9,1.5113
ARB,Ctrl,2,IC,upper,185.3,164.4,0.4,0.3696
ARB,Ctrl,2,IC,lower,230.7,158,0.7,0.6432
ARB,Ctrl,5,Can,upper,205.5,194.3,0.2,0.2032
ARB,Ctrl,5,Can,lower,239.1,217.9,1.5,1.4923
ARB,Ctrl,5,IC,upper,200.9,177,0.1,0.1098
ARB,Ctrl,5,IC,lower,199.4,158.9,0.2,0.216
ARB,Ctrl,6,Can,upper,206.6,190.7,0.4,0.4551
ARB,Ctrl,6,Can,lower,265.7,171.8,2.4,2.3868
ARB,Ctrl,6,IC,upper,301.9,242,0.6,0.4506
ARB,Ctrl,6,IC,lower,236.6,199,0.7,0.6279
ARB,Ctrl,11,Can,upper,212.3,195.2,1.2,0.8576
ARB,Ctrl,11,Can,lower,230.4,152.5,0.6,0.5055
ARB,Ctrl,11,IC,upper,264,236.4,0.7,0.6312
ARB,Ctrl,11,IC,lower,265.3,198.7,0.6,0.5141
CC,Add,4,Can,upper,90.2,71.3,0.5,0.4166
CC,Add,4,Can,lower,122.4,85.1,2.6,1.1809
CC,Add,4,IC,upper,186.7,138.1,0.4,0.3101
CC,Add,4,IC,lower,220.7,164.5,0.4,0.3154
CC,Add,6,Can,upper,92.9,45,0.1,0.0944
CC,Add,6,Can,lower,114.3,80.5,0.5,0.4725
CC,Add,6,IC,upper,120.2,83.3,0.1,0.1879
CC,Add,6,IC,lower,201.1,1,145.4,1.0082
CC,Add,9,Can,upper,162.8,124.1,0.5,0.5448
CC,Add,9,Can,lower,190.2,136.4,0.5,0.5771
CC,Add,9,IC,upper,218.9,178.6,3.5,2.8466
CC,Add,9,IC,lower,277.9,193.1,2.5,2.1893
CC,Add,11,Can,upper,162.1,131,0.6,0.5451
CC,Add,11,Can,lower,172.3,122.3,0.2,0.4168
