date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180817,Antelope,4,Exl,IC,1,9:51:50,735,0.291,15.87,25.93,23.13
180817,Antelope,4,Exl,IC,2,9:54:37,902,0.293,16.08,25.99,23.59
180817,Antelope,4,Exl,IC,3,9:57:28,1072.5,0.288,16.26,26.03,24
180817,Antelope,4,Exl,Can,1,10:00:14,1238.5,0.303,16.31,26.09,24.39
180817,Antelope,4,Exl,Can,1,10:03:14,1418.5,0.497,16.43,26.12,24.82
180817,Antelope,4,Exl,Can,2,10:05:12,1536.5,0.47,16.82,26.14,25.08
180817,Antelope,4,Exl,Can,3,10:07:14,1658.5,0.504,17.21,26.14,25.33
180817,Antelope,4,Exl,Can,4,10:09:15,1779.5,0.499,17.61,26.17,25.5
180817,Antelope,2,Add,Can,2,10:12:37,1981.5,1.96,30.02,22.82,25.48
180817,Antelope,2,Add,Can,3,10:13:31,2036,2,31.48,22.78,25.5
180817,Antelope,2,Add,Can,4,10:14:25,2089.5,2.03,32.49,22.77,25.53
180817,Antelope,2,Add,Can,1,10:16:29,2214,1.06,29.5,22.79,25.61
180817,Antelope,2,Add,Can,2,10:18:04,2308.5,1.1,31.98,22.81,25.65
180817,Antelope,2,Add,Can,3,10:19:27,2392,1.14,33.14,22.8,25.71
180817,Antelope,2,Add,Can,4,10:20:59,2483.5,1.16,33.96,22.83,25.82
180817,Antelope,6,Exl,IC,1,10:24:06,2671,0.209,13.05,26.58,26.59
180817,Antelope,6,Exl,IC,2,10:26:44,2829,0.256,13.11,26.65,26.93
180817,Antelope,6,Exl,IC,3,10:29:02,2967,0.258,13.2,26.68,27.23
180817,Antelope,6,Exl,IC,4,10:31:23,3108,0.24,13.31,26.65,27.87
180817,Antelope,6,Exl,Can,1,10:34:04,3269.5,0.24,12.78,27.13,28.45
180817,Antelope,6,Exl,Can,2,10:36:25,3410,0.264,13.13,26.79,28.75
180817,Antelope,6,Exl,Can,3,10:38:42,3547,0.284,13.38,26.83,29.02
180817,Antelope,6,Exl,Can,4,10:40:50,3675,0.272,13.57,26.88,29.23
180817,Antelope,7,Ctrl,IC,1,10:43:50,3855.5,0.278,15.56,25.49,29.92
180817,Antelope,7,Ctrl,IC,2,10:46:07,3992.5,0.334,17.57,25.53,30.43
180817,Antelope,7,Ctrl,IC,3,10:48:25,4130,0.325,18.78,25.53,30.91
180817,Antelope,7,Ctrl,IC,4,10:50:47,4272,0.326,19.79,25.59,31.34
180817,Antelope,7,Ctrl,Can,1,10:53:19,4424,0.321,15.45,25.53,32.02
180817,Antelope,7,Ctrl,Can,2,10:55:40,4565,0.331,15.91,25.42,32.08
180817,Antelope,7,Ctrl,Can,3,10:58:00,4705.5,0.31,16.3,25.43,32.09
180817,Antelope,7,Ctrl,Can,4,11:00:21,4846,0.349,16.66,25.52,32.11
180817,Antelope,5,Add,IC,1,11:05:21,5146.5,0.405,13.28,25.95,32.12
180817,Antelope,5,Add,IC,2,11:07:30,5275.5,0.404,14.77,25.75,32.4
180817,Antelope,5,Add,IC,3,11:09:35,5400.5,0.378,15.66,25.78,32.77
180817,Antelope,5,Add,IC,4,11:11:28,5513,0.339,16.29,25.83,33.08
180817,Antelope,5,Add,Can,1,11:14:04,5669,0.268,11.23,25.92,33.7
180817,Antelope,5,Add,Can,2,11:16:00,5785,0.284,11.92,25.99,34.26
180817,Antelope,5,Add,Can,3,11:18:06,5911.5,0.329,12.31,26.07,34.75
180817,Antelope,5,Add,Can,4,11:20:10,6035,0.376,12.64,26.16,35.12
180817,Antelope,8,Ctrl,IC,1,11:24:03,6268.5,0.43,13.49,26.33,35.79
180817,Antelope,8,Ctrl,IC,2,11:25:56,6381,0.437,15,26.16,36.01
180817,Antelope,8,Ctrl,IC,3,11:27:49,6494,0.469,16.16,26.36,35.87
180817,Antelope,8,Ctrl,IC,4,11:29:46,6611.5,0.474,17.12,26.4,35.69
180817,Antelope,8,Ctrl,Can,1,11:32:05,6750.5,0.0771,13.27,26.41,35.33
180817,Antelope,8,Ctrl,Can,2,11:34:01,6866,-0.0817,13.08,26.86,35.16
180817,Antelope,8,Ctrl,Can,3,11:36:08,6994,0.0735,12.97,27.02,34.82
180817,Antelope,8,Ctrl,Can,4,11:38:15,7121,0.227,14.81,26.97,34.47
180817,Antelope,9,Exl,IC,1,11:42:28,7373.5,0.276,9.78,27.39,34.42
180817,Antelope,9,Exl,IC,2,11:44:23,7488.5,0.272,10.41,27.39,34.53
180817,Antelope,9,Exl,IC,3,11:46:21,7606.5,0.255,10.91,27.52,34.52
180817,Antelope,9,Exl,IC,4,11:48:16,7721.5,0.258,11.34,27.57,34.45
180817,Antelope,9,Exl,Can,1,11:51:34,7920,0.152,8.52,27.6,34.39
180817,Antelope,9,Exl,Can,2,11:54:26,8092,0.178,8.91,27.7,34.32
180817,Antelope,9,Exl,Can,3,11:57:13,8259,0.178,9.3,27.79,34.08
180817,Antelope,9,Exl,Can,4,12:00:04,8429.5,0.138,9.55,27.86,34.15
