date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180605,Antelope,1,Add,IC,1,14:07:44,716,0.109,4.21,48.41,41.89
180605,Antelope,1,Add,IC,2,14:13:29,1061.5,0.0976,4.05,48.27,42.61
180605,Antelope,1,Add,IC,3,14:18:08,1340,0.0631,4.05,48.33,42.64
180605,Antelope,1,Add,IC,4,14:22:07,1579.5,0.062,4.03,48.76,42.75
180605,Antelope,1,Add,Can,1,14:26:20,1832,0.161,3.71,48.82,42.91
180605,Antelope,1,Add,Can,2,14:29:26,2018.5,0.134,3.66,49.22,42.9
180605,Antelope,1,Add,Can,3,14:32:50,2222,0.126,3.57,49.04,43.24
180605,Antelope,1,Add,Can,4,14:36:22,2434,0.148,3.57,49.03,43.53
180605,Antelope,2,Add,IC,1,14:42:24,2796.5,0.154,3.08,47.65,45.7
180605,Antelope,2,Add,IC,2,14:45:22,2974,0.187,3.03,47.99,46.22
180605,Antelope,2,Add,IC,3,14:48:08,3140,0.205,3.06,48.19,46.42
180605,Antelope,2,Add,IC,4,14:50:39,3291.5,0.206,3.11,48.44,46.4
180605,Antelope,2,Add,Can,1,14:55:48,3600.5,0.0645,2.95,47.95,46.7
180605,Antelope,2,Add,Can,2,15:01:53,3965.5,0.698,3.11,47.8,45.7
180605,Antelope,2,Add,Can,3,15:08:29,4361,0.000775,3.2,47.62,45.3
180605,Antelope,2,Add,Can,4,15:12:33,4605,0.072,3.31,47.61,44.74
