date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180723,Antelope,1,Add,IC,1,11:15:08,1173,0.66,35.63,27.31,33.67
180723,Antelope,1,Add,IC,2,11:17:07,1292,0.66,37.84,27.41,34.16
180723,Antelope,1,Add,IC,3,11:19:04,1409,0.671,39.29,27.48,34.52
180723,Antelope,1,Add,IC,4,11:20:58,1522.5,0.701,40.25,27.61,34.91
180723,Antelope,1,Add,Can,2,11:24:17,1721.5,1.28,28.37,27.85,36.31
180723,Antelope,1,Add,Can,3,11:25:37,1802,1.2,28.95,27.88,36.52
180723,Antelope,1,Add,Can,4,11:26:54,1879,1.22,29.11,27.9,36.81
180723,Antelope,3,Ctrl,IC,1,11:30:47,2112,1.36,30.52,27.5,37.05
180723,Antelope,3,Ctrl,IC,2,11:32:11,2195.5,1.21,33.16,27.61,36.92
180723,Antelope,3,Ctrl,IC,3,11:33:30,2275.5,1.22,35.06,27.73,36.77
180723,Antelope,3,Ctrl,IC,4,11:34:53,2358.5,1.2,36.6,27.87,36.64
180723,Antelope,3,Ctrl,Can,1,11:36:45,2470,1.06,28.8,28.02,36.91
180723,Antelope,3,Ctrl,Can,2,11:38:11,2555.5,1.03,30.16,28.12,36.92
180723,Antelope,3,Ctrl,Can,3,11:39:34,2638.5,1.04,31.36,28.2,36.87
180723,Antelope,3,Ctrl,Can,4,11:40:56,2721,1.06,32.49,28.26,36.67
180723,Antelope,4,Exl,IC,1,11:43:59,2904,0.786,25.07,29.08,37.57
180723,Antelope,4,Exl,IC,2,11:45:44,3009,0.94,26.57,28.98,37.75
180723,Antelope,4,Exl,IC,3,11:47:34,3119.5,0.903,27.74,28.94,38.05
180723,Antelope,4,Exl,IC,4,11:49:07,3212,0.941,28.66,28.86,38.13
180723,Antelope,4,Exl,Can,1,11:51:23,3348,0.962,24.73,28.9,39.05
180723,Antelope,4,Exl,Can,2,11:52:52,3437.5,1.02,26.04,28.97,39.06
180723,Antelope,4,Exl,Can,3,11:54:10,3515,1.11,26.83,29.21,39.05
180723,Antelope,4,Exl,Can,4,11:55:38,3603,1.02,27.59,29.46,39.02
180723,Antelope,2,Add,IC,1,12:00:06,3871,0.896,28.32,27.39,39.49
180723,Antelope,2,Add,IC,2,12:01:46,3971.5,0.986,31.19,27.38,39.5
180723,Antelope,2,Add,IC,3,12:03:35,4080,0.918,32.86,27.51,39.72
180723,Antelope,2,Add,IC,4,12:05:12,4177.5,0.994,33.91,27.61,39.99
180723,Antelope,2,Add,Can,1,12:07:45,4330.5,0.862,26.07,27.83,40.68
180723,Antelope,2,Add,Can,2,12:09:27,4432,0.923,27.02,27.94,40.84
180723,Antelope,2,Add,Can,3,12:11:07,4532.5,0.968,27.51,28.01,41.02
180723,Antelope,2,Add,Can,4,12:12:51,4636.5,0.929,27.96,28.09,41.07
180723,Antelope,6,Exl,IC,1,12:16:22,4847.5,0.963,20.39,29.23,42.21
180723,Antelope,6,Exl,IC,2,12:17:46,4931.5,1.07,21.62,29.12,42.47
180723,Antelope,6,Exl,IC,3,12:19:17,5022,1.06,22.41,29.17,42.76
180723,Antelope,6,Exl,IC,4,12:20:38,5103,1.04,23.08,29.23,42.85
180723,Antelope,6,Exl,Can,1,12:22:38,5223,1.14,21.91,29.43,43.67
180723,Antelope,6,Exl,Can,2,12:23:49,5294.5,1.23,23.4,29.43,43.41
180723,Antelope,6,Exl,Can,3,12:25:02,5367,1.18,24.14,29.43,43.45
180723,Antelope,6,Exl,Can,4,12:26:12,5437.5,1.26,24.86,29.5,43.32
180723,Antelope,7,Ctrl,IC,1,12:30:06,5671.5,0.872,23.33,28.45,43.09
180723,Antelope,7,Ctrl,IC,2,12:31:48,5773.5,0.947,26.27,28.42,42.92
180723,Antelope,7,Ctrl,IC,3,12:33:38,5883.5,0.866,28.05,28.46,43.01
180723,Antelope,7,Ctrl,IC,4,12:35:17,5982,0.897,29.56,28.51,42.8
180723,Antelope,7,Ctrl,Can,1,12:37:48,6133.5,1.43,21.04,28.67,43.3
180723,Antelope,7,Ctrl,Can,2,12:38:45,6190.5,1.37,21.62,28.68,43.22
180723,Antelope,7,Ctrl,Can,3,12:39:47,6252.5,1.45,22.55,28.68,42.89
180723,Antelope,7,Ctrl,Can,4,12:40:48,6313.5,1.47,23.08,28.71,42.79
180723,Antelope,5,Add,IC,1,12:44:01,6506.5,1.28,20.19,30.47,42.54
180723,Antelope,5,Add,IC,2,12:45:12,6577.5,1.34,21.6,30.39,42.62
180723,Antelope,5,Add,IC,3,12:46:18,6643.5,1.39,22.74,30.4,42.54
180723,Antelope,5,Add,IC,4,12:47:33,6718.5,1.33,23.64,30.38,42.57
180723,Antelope,5,Add,Can,1,12:50:05,6870.5,0.87,18.81,30.54,43.2
